Cultivar,Variedad,Patrón,Parcela,Árbol,Vivo-M6-20_10_19,Sospecha-M6-20_10_19,Severidad-M6-20_11_19,M6-Inspección_Visual-20_11_19,Observaciones_M4
Limón,Perrine,CPB4475,23,2,Verdadero,1,2,1,NA
Limón,Perrine,CPB4475,23,3,FALSO,NA,NA,NA,NA
Limón,Perrine,CPB4475,23,4,Verdadero,0,NA,0,NA
Limón,Perrine,CPB4475,23,5,Verdadero,1,2,1,NA
Limón,Perrine,CPB4475,23,6,Verdadero,0,NA,0,NA
Limón,Eureka,CPB4475,24,1,FALSO,NA,NA,NA,NA
Limón,Eureka,CPB4475,24,2,FALSO,NA,NA,NA,NA
Limón,Eureka,CPB4475,24,3,FALSO,NA,NA,NA,NA
Limón,Eureka,CPB4475,24,4,FALSO,NA,NA,NA,NA
Limón,Eureka,CPB4475,24,5,FALSO,NA,NA,NA,NA
Limón,Eureka,CPB4475,24,6,FALSO,NA,NA,NA,NA
Limón,L_Pajarito,CPB4475,25,1,Verdadero,0,NA,0,NA
Limón,L_Pajarito,CPB4475,25,2,FALSO,NA,NA,NA,Proximo a morir
Limón,L_Pajarito,CPB4475,25,3,Verdadero,1,3,1,NA
Limón,L_Pajarito,CPB4475,25,4,Verdadero,1,2,1,NA
Limón,L_Pajarito,CPB4475,25,5,Verdadero,1,2,1,NA
Limón,L_Pajarito,CPB4475,25,6,Verdadero,1,3,1,NA
Mandarina,OwariSatsuma,CPB4475,26,1,Verdadero,0,NA,0,NA
Mandarina,OwariSatsuma,CPB4475,26,2,Verdadero,0,NA,0,NA
Mandarina,OwariSatsuma,CPB4475,26,3,Verdadero,0,NA,0,NA
Mandarina,OwariSatsuma,CPB4475,26,4,Verdadero,0,NA,0,NA
Mandarina,OwariSatsuma,CPB4475,26,5,Verdadero,0,NA,0,NA
Mandarina,OwariSatsuma,CPB4475,26,6,Verdadero,0,NA,0,NA
Mandarina,Fairchild,SxE,27,1,Verdadero,0,NA,0,NA
Mandarina,Fairchild,SxE,27,2,Verdadero,0,NA,0,NA
Mandarina,Fairchild,SxE,27,3,Verdadero,1,1,1,NA
Mandarina,Fairchild,SxE,27,4,Verdadero,0,NA,0,NA
Mandarina,Fairchild,SxE,27,5,Verdadero,0,NA,0,NA
Mandarina,Fairchild,SxE,27,6,Verdadero,0,NA,0,NA
Mandarina,M_Oneco,SxE,28,1,Verdadero,0,NA,0,NA
Mandarina,M_Oneco,SxE,28,2,Verdadero,0,NA,0,NA
Mandarina,M_Oneco,SxE,28,3,Verdadero,0,NA,0,NA
Mandarina,M_Oneco,SxE,28,4,Verdadero,0,NA,0,NA
Mandarina,M_Oneco,SxE,28,5,Verdadero,0,NA,0,NA
Mandarina,M_Oneco,SxE,28,6,Verdadero,0,NA,0,NA
Mandarina,M_Arrayana,SxE,29,1,Verdadero,0,NA,0,NA
